customer_id,id_number,first_name,last_name,dob,gender,province,income_band,segment,risk_score,kyc_status,product_flags
6310fde6-8b6c-9344-382d-2b30d3c8ffe0,*********3075,Sakkie,Maluleke,1963-07-09,F,Western Cape,LOWER_MIDDLE,MIDDLE_MKT,5,VERIFIED,INS|INV|PL|SA
6de68961-376d-0b12-5943-5b070b004446,*********5395,David,Naicker,2002-01-26,F,North West,MIDDLE,EMERGING,8,VERIFIED,SA
0c0e00da-99c9-c0f5-7ce1-3176c363a9c6,*********6814,Dorothy,Bester,1980-06-05,M,KwaZulu-Natal,MIDDLE,PROFESSIONAL,8,VERIFIED,CC|INS|PL|SA
616d0697-de2d-2238-649d-c151dbd64ba0,*********6893,Aletta,Maluleke,2002-02-12,F,Eastern Cape,LOWER_MIDDLE,MIDDLE_MKT,4,VERIFIED,INS|INV|SA
1066070b-41b1-6889-39a6-3f14eb7cdeb7,*********9040,Sarah,Maluleke,1988-11-05,F,Western Cape,LOWER_MIDDLE,PRIVATE,7,VERIFIED,INV|SA
2f764f45-c00b-8814-76a0-3c33175dc957,*********3994,Sandra,Ramaphosa,1992-12-04,F,Limpopo,UPPER_MIDDLE,MASS,4,VERIFIED,HL|INV|SA
526a2c18-e40a-6703-6950-40a6b382505b,*********8208,John,Williams,1985-11-16,F,Western Cape,UPPER_MIDDLE,MASS,6,VERIFIED,INV|SA
38c1cbe5-45d0-9f11-1d16-288f39a8a89d,*********2981,Hlengiwe,Daniels,1987-09-19,M,Eastern Cape,LOW,MASS,8,VERIFIED,HL|INS|INV|SA
46fca261-8bcb-1c11-082b-29f1f1a65fd7,*********3704,Vusimuzi,Moshoeshoe,1961-10-17,M,Limpopo,LOW,MASS,4,VERIFIED,INV|SA
69efd178-6ddc-7d37-50da-6108236cdc96,*********4179,Boet,Chauke,1961-10-28,M,Gauteng,LOW,EMERGING,8,VERIFIED,CA|INV|PL|SA
610904e1-9526-39fa-2d61-1b5f59aabc8f,*********4643,Sibusiso,Roberts,1964-05-01,M,Eastern Cape,LOWER_MIDDLE,PRIVATE,3,VERIFIED,CA|INV|SA
7c3fd536-88b1-9a44-7251-cafbb90c499e,*********5150,Petro,Roberts,1971-05-18,F,KwaZulu-Natal,MIDDLE,MASS,6,VERIFIED,INV|PL|SA
63a21207-d6c6-0cd8-18e9-ebd261446288,*********6974,Ilse,Dlamini,1966-09-09,F,Western Cape,LOW,MASS,6,VERIFIED,CC|PL|SA
3bbd838b-ae94-790b-059b-5c9ebfb7a21c,*********1161,Mmathabo,Buthelezi,1969-05-18,M,Western Cape,MIDDLE,MASS,6,VERIFIED,INS|SA
13bfc211-45f5-fd50-576e-25e9df26f115,*********7681,Hlengiwe,Hlongwane,1976-05-15,F,KwaZulu-Natal,MIDDLE,EMERGING,7,VERIFIED,CA|CC|SA
5f545dc7-7615-646a-7bd7-5be1aeee2585,*********5522,Hope,Motaung,1966-02-10,M,Gauteng,LOW,MIDDLE_MKT,2,VERIFIED,CC|INV|SA
29b4a534-b496-be91-2f6b-3940f3e89891,*********8554,Lisa,Roberts,1972-03-06,M,Western Cape,MIDDLE,EMERGING,6,VERIFIED,SA
3c1a67a2-89c5-9d0f-1840-98f565d8d768,*********9302,Samantha,Mafeje,1986-03-20,F,Eastern Cape,MIDDLE,EMERGING,6,VERIFIED,CA|CC|SA
10a14494-3b41-a2fb-3ce3-e62657de849c,*********1841,Lwazi,Van Niekerk,1977-09-10,M,North West,LOWER_MIDDLE,MASS,2,FAILED,HL|SA
1d0b5d94-aa43-df9a-55bc-7708c8418853,*********9831,Andile,Matanzima,2001-01-13,NB,Northern Cape,LOW,MASS,10,VERIFIED,CA|HL|SA
37f49815-785b-f33d-6a95-32fa14916e00,*********2087,Rachel,Robinson,1996-10-16,NB,Western Cape,MIDDLE,EMERGING,4,VERIFIED,CA|SA
59a2496f-d09c-1ddb-27fb-a14e8c71ec1f,*********5368,Sandile,Naicker,1992-11-17,F,Northern Cape,LOWER_MIDDLE,MIDDLE_MKT,9,VERIFIED,CC|SA
6a877d3a-6248-b59a-6702-84ba37b52e05,*********2750,Hope,Mphaphuli,1981-10-24,M,North West,LOWER_MIDDLE,EMERGING,6,VERIFIED,CA|CC|INS|SA
3198e43a-ebbc-8f25-24e7-ef7072f4890b,*********9109,Nhlakanipho,Joubert,2003-03-15,F,Eastern Cape,LOW,MASS,5,VERIFIED,CA|HL|SA
575c033e-9ea9-d458-11e3-68cd51816958,*********7352,Gary,Jones,1994-01-25,M,KwaZulu-Natal,LOWER_MIDDLE,EMERGING,6,PENDING,CC|SA
1996978b-ea97-1e22-00f1-3f31e706ef23,*********6140,Tinyiko,Strydom,2004-01-16,F,Gauteng,UPPER_MIDDLE,EMERGING,7,VERIFIED,HL|INV|PL|SA
64b9f020-e5fe-f018-5519-d536e3e2fa5d,*********0003,Bheki,Dalindyebo,1974-09-01,F,Eastern Cape,LOW,PROFESSIONAL,5,VERIFIED,CC|INV|PL|SA
5a42dbef-bc5c-4feb-63ee-edcba378b8ae,*********0267,Greg,Wright,1997-12-11,M,Gauteng,LOW,MASS,5,VERIFIED,CA|INV|SA
3abdc08b-c71f-708a-48cc-82f240b7b4a4,*********5694,Sthembile,Ntsebeza,1962-05-17,F,Mpumalanga,LOWER_MIDDLE,MASS,4,VERIFIED,CC|SA
11e4de37-84c5-02ed-0ea8-ebe41f6bed47,*********4829,Busisiwe,De Villiers,1991-12-20,F,Western Cape,MIDDLE,EMERGING,4,VERIFIED,PL|SA
558e3a6e-b845-41f3-3c4c-e16753c4532b,*********8390,Zodwa,Nkosi,2006-07-25,M,Gauteng,LOWER_MIDDLE,MASS,7,VERIFIED,CA|INS|PL|SA
4859a81f-ed73-42fe-61eb-7b890a2323f9,*********4745,Lisa,Robinson,1980-03-17,F,Northern Cape,LOWER_MIDDLE,EMERGING,4,PENDING,SA
513e732d-498c-8363-46db-b096c85e2733,*********8844,Samantha,Letseka,1967-04-24,F,Gauteng,LOWER_MIDDLE,MASS,2,VERIFIED,CA|INS|SA
